id,make,model,year,horsepower,torque,engine_make,engine_capacity,engine_cylinders,engine_modifier
2011 Chevrolet Express LS 2500 6.0L,Chevrolet,Chevrolet Express,2011,324,373,Chevrolet,6.0,8,FFV
2010 Chevrolet Express LS 1500,Chevrolet,Chevrolet Express,2010,310,334,Chevrolet,5.3,8,FFV
2010 Chevrolet Express LS 1500 AWD,Chevrolet,Chevrolet Express,2010,310,334,Chevrolet,5.3,8,FFV
2011 Chevrolet Silverado 1500 Work Truck,Chevrolet,Chevrolet Silverado 1500,2011,195,260,Chevrolet,4.3,6,
2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,Chevrolet Silverado 1500,2011,302,305,Chevrolet,4.8,8,FFV
2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,Chevrolet Silverado 1500,2011,195,260,Chevrolet,4.3,6,
2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,Chevrolet Silverado 1500,2010,195,260,Chevrolet,4.3,6,
2010 Chevrolet Silverado 1500 Work Truck,Chevrolet,Chevrolet Silverado 1500,2010,195,260,Chevrolet,4.3,6,
2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,Chevrolet Silverado 1500,2010,302,305,Chevrolet,4.8,8,FFV
2011 Nissan 370Z NISMO,Nissan,Nissan 370Z Coupe,2011,350,276,Nissan,3.7,6,
2010 Nissan 370Z NISMO,Nissan,Nissan 370Z Coupe,2010,350,276,Nissan,3.7,6,
2009 Nissan 370Z NISMO,Nissan,Nissan 370Z Coupe,2009,350,276,Nissan,3.7,6,
2011 Volvo C30 T5,Volvo,Volvo C30,2011,227,236,Volvo,2.5,5,Turbo
2011 Volvo C30 T5 AT,Volvo,Volvo C30,2011,227,236,Volvo,2.5,5,Turbo
2010 Volvo C30 T5 AT,Volvo,Volvo C30,2010,227,236,Volvo,2.5,5,Turbo
2010 Volvo C30 T5,Volvo,Volvo C30,2010,227,236,Volvo,2.5,5,Turbo
2010 Bentley Brooklands,Bentley,Bentley Brooklands,2010,530,774,Bentley,6.8,8,
2012 Bentley Continental Supersports Convertible,Bentley,Bentley Continental Supersports Convertible,2012,621,590,Bentley,6.0,12,FFV
2012 Bentley Continental Supersports Coupe,Bentley,Bentley Continental Supersports Coupe,2012,621,590,Bentley,6.0,12,FFV
2011 Bentley Continental Supersports Convertible,Bentley,Bentley Continental Supersports Convertible,2011,621,590,Bentley,6.0,12,FFV
2010 Bentley Continental Supersports,Bentley,Bentley Continental Supersports,2010,621,590,Bentley,6.0,12,FFV
2012 Bentley Continental Flying Spur,Bentley,Bentley Continental Flying Spur,2012,552,479,Bentley,6.0,12,FFV
2012 Bentley Continental Flying Spur Speed,Bentley,Bentley Continental Flying Spur,2012,600,553,Bentley,6.0,12,FFV
2011 Bentley Continental Flying Spur Speed,Bentley,Bentley Continental Flying Spur,2011,600,553,Bentley,6.0,12,FFV
2010 Bentley Continental Flying Spur Speed,Bentley,Bentley Continental Flying Spur,2010,600,553,Bentley,6.0,12,
2010 Bentley Continental Flying Spur,Bentley,Bentley Continental Flying Spur,2010,552,479,Bentley,6.0,12,Turbo
2011 Volvo C70 T5,Volvo,Volvo C70,2011,227,236,Volvo,2.5,5,Turbo
2010 Volvo C70 T5,Volvo,Volvo C70,2010,227,236,Volvo,2.5,5,Turbo
2010 Volvo C70 T5 AT,Volvo,Volvo C70,2010,227,236,Volvo,2.5,5,Turbo
2010 Volvo S40 2.4i,Volvo,Volvo S40,2010,168,170,Volvo,2.4,5,
2010 Volvo S40 R-Design,Volvo,Volvo S40,2010,227,236,Volvo,2.5,5,Turbo
2011 Volvo S40 T5,Volvo,Volvo S40,2011,227,236,Volvo,2.5,5,Turbo
2010 Volvo S40 R-Design AWD,Volvo,Volvo S40,2010,227,236,Volvo,2.5,5,Turbo
2012 Volvo S60 T5,Volvo,Volvo S60,2012,250,266,Volvo,2.5,5,Turbo
2012 Volvo S60 T6 AWD,Volvo,Volvo S60,2012,300,325,Volvo,3.0,6,Turbo
2012 Volvo S60 R-Design,Volvo,Volvo S60,2012,325,354,Volvo,3.0,6,Turbo
2011 Volvo S60 T6 AWD,Volvo,Volvo S60,2011,300,325,Volvo,3.0,6,Turbo
2011 Volvo S80 3.2,Volvo,Volvo S80,2011,240,236,Volvo,3.2,6,
2010 Volvo S80 V8,Volvo,Volvo S80,2010,311,325,Volvo,4.4,8,
2010 Volvo S80 T6 AWD,Volvo,Volvo S80,2010,281,295,Volvo,3.0,6,Turbo
2010 Volvo S80 3.2,Volvo,Volvo S80,2010,235,236,Volvo,3.2,6,
2011 Volvo V50 T5,Volvo,Volvo V50,2011,227,236,Volvo,2.5,5,Turbo
2010 Volvo V50 R-Design,Volvo,Volvo V50,2010,227,236,Volvo,2.5,5,Turbo
2010 Volvo V50 2.4i,Volvo,Volvo V50,2010,168,170,Volvo,2.4,5,
2011 Volvo XC60 T6 AWD,Volvo,Volvo XC60,2011,300,325,Volvo,3.0,6,Turbo
2011 Volvo XC60 3.2,Volvo,Volvo XC60,2011,240,236,Volvo,3.2,6,
2010 Volvo XC60 T6 AWD,Volvo,Volvo XC60,2010,281,295,Volvo,3.0,6,Turbo
2010 Volvo XC60 3.2,Volvo,Volvo XC60,2010,235,236,Volvo,3.2,6,
2011 Volvo XC70 3.2,Volvo,Volvo XC70,2011,240,236,Volvo,3.2,6,
2011 Volvo XC70 T6 AWD,Volvo,Volvo XC70,2011,300,325,Volvo,3.0,6,Turbo
2010 Volvo XC70 T6 AWD,Volvo,Volvo XC70,2010,281,295,Volvo,3.0,6,Turbo
2010 Volvo XC70 3.2,Volvo,Volvo XC70,2010,235,236,Volvo,3.2,6,
2011 Toyota 4Runner SR5,Toyota,Toyota 4Runner,2011,270,278,Toyota,4.0,6,
2011 Toyota 4Runner SR5 4WD,Toyota,Toyota 4Runner,2011,270,278,Toyota,4.0,6,
2011 Toyota 4Runner Trail,Toyota,Toyota 4Runner,2011,270,278,Toyota,4.0,6,
2011 Toyota 4Runner Limited,Toyota,Toyota 4Runner,2011,270,278,Toyota,4.0,6,
2011 Toyota 4Runner  Limited 4WD,Toyota,Toyota 4Runner,2011,270,278,Toyota,4.0,6,
2011 Volvo XC90 3.2,Volvo,Volvo XC90,2011,240,236,Volvo,3.2,6,
2011 Volvo XC90 V8,Volvo,Volvo XC90,2011,311,325,Volvo,4.4,8,
2010 Volvo XC90 3.2,Volvo,Volvo XC90,2010,235,236,Volvo,3.2,6,
2010 Volvo XC90 V8,Volvo,Volvo XC90,2010,311,325,Volvo,4.4,8,
2010 Volvo V70 3.2,Volvo,Volvo V70,2010,235,236,Volvo,3.2,6,
2010 Toyota 4Runner SR5,Toyota,Toyota 4Runner,2010,157,178,Toyota,2.7,4,
2010 Toyota 4Runner SR5 V6,Toyota,Toyota 4Runner,2010,270,278,Toyota,4.0,6,
2010 Toyota 4Runner SR5 V6 4WD,Toyota,Toyota 4Runner,2010,270,278,Toyota,4.0,6,
2010 Toyota 4Runner Trail,Toyota,Toyota 4Runner,2010,270,278,Toyota,4.0,6,
2010 Toyota 4Runner Limited,Toyota,Toyota 4Runner,2010,270,278,Toyota,4.0,6,
2010 Toyota 4Runner Limited 4WD,Toyota,Toyota 4Runner,2010,270,278,Toyota,4.0,6,
2012 Audi A3 2.0 T,Audi,Audi A3,2012,200,207,Audi,2.0,4,Turbo
2010 Honda Accord EX-L V-6 Coup,Honda,Honda Accord Coupe,2010,271,251,Honda,3.5,6,
2010 Honda Accord EX Coup AT,Honda,Honda Accord Coupe,2010,190,162,Honda,2.4,4,
2010 Honda Accord EX-L Coup,Honda,Honda Accord Coupe,2010,190,162,Honda,2.4,4,
2010 Honda Accord EX-L Coup AT,Honda,Honda Accord Coupe,2010,190,162,Honda,2.4,4,
2010 Honda Accord EX-L V-6 Coup AT,Honda,Honda Accord Coupe,2010,271,251,Honda,3.5,6,
2010 Honda Accord EX Coup,Honda,Honda Accord Coupe,2010,190,162,Honda,2.4,4,
2010 Honda Accord LX-S Coup AT,Honda,Honda Accord Coupe,2010,190,162,Honda,2.4,4,
2010 Honda Accord LX-S Coup,Honda,Honda Accord Coupe,2010,190,162,Honda,2.4,4,
2011 Nissan 370Z Roadster,Nissan,Nissan 370Z Roadster,2011,332,270,Nissan,3.7,6,
2011 Nissan 370Z Roadster AT,Nissan,Nissan 370Z Roadster,2011,332,270,Nissan,3.7,6,
2011 Nissan 370Z Touring Roadster,Nissan,Nissan 370Z Roadster,2011,332,270,Nissan,3.7,6,
2011 Nissan 370Z Touring Roadster AT,Nissan,Nissan 370Z Roadster,2011,332,270,Nissan,3.7,6,
2010 Nissan 370Z Touring Roadster,Nissan,Nissan 370Z Roadster,2010,332,270,Nissan,3.7,6,
2010 Nissan 370Z Roadster,Nissan,Nissan 370Z Roadster,2010,332,270,Nissan,3.7,6,
2010 Nissan 370Z Roadster AT,Nissan,Nissan 370Z Roadster,2010,332,270,Nissan,3.7,6,
2010 Nissan 370Z Touring Roadster AT,Nissan,Nissan 370Z Roadster,2010,332,270,Nissan,3.7,6,
2011 Audi A3 2.0 T,Audi,Audi A3,2011,200,207,Audi,2.0,4,Turbo
2011 Nissan 370Z Coupe,Nissan,Nissan 370Z Coupe,2011,332,270,Nissan,3.7,6,
2011 Nissan 370Z Touring Coupe,Nissan,Nissan 370Z Coupe,2011,332,270,Nissan,3.7,6,
2011 Nissan 370Z Touring Coupe AT,Nissan,Nissan 370Z Coupe,2011,332,270,Nissan,3.7,6,
2010 Audi A3 2.0 T,Audi,Audi A3,2010,200,207,Audi,2.0,4,Turbo
2010 Nissan 370Z Touring Coupe AT,Nissan,Nissan 370Z Coupe,2010,332,270,Nissan,3.7,6,
2010 Nissan 370Z Coupe,Nissan,Nissan 370Z Coupe,2010,332,270,Nissan,3.7,6,
2010 Nissan 370Z Touring Coupe,Nissan,Nissan 370Z Coupe,2010,332,270,Nissan,3.7,6,
2010 Nissan 370Z Coupe AT,Nissan,Nissan 370Z Coupe,2010,332,270,Nissan,3.7,6,
2012 Audi A4 Sedan 2.0 T Quattro,Audi,Audi A4 Sedan,2012,211,258,Audi,2.0,4,Turbo
2012 Audi A4 Sedan 2.0 T Quattro AT,Audi,Audi A4 Sedan,2012,211,258,Audi,2.0,4,Turbo
2011 Audi A4 Sedan 2.0 T Quattro,Audi,Audi A4 Sedan,2011,211,258,Audi,2.0,4,Turbo
2011 Audi A4 Sedan 2.0 T Quattro AT,Audi,Audi A4 Sedan,2011,211,258,Audi,2.0,4,Turbo
2012 Ford Fiesta S Sedan,Ford,Ford Fiesta Sedan,2012,120,112,Ford,1.6,4,
2012 Ford Fiesta SE Sedan,Ford,Ford Fiesta Sedan,2012,120,112,Ford,1.6,4,
2012 Ford Fiesta SEL Sedan,Ford,Ford Fiesta Sedan,2012,120,112,Ford,1.6,4,
2011 Ford Fiesta Sedan S,Ford,Ford Fiesta Sedan,2011,120,112,Ford,1.6,4,
2011 Ford Fiesta Sedan SE,Ford,Ford Fiesta Sedan,2011,120,112,Ford,1.6,4,
2011 Ford Fiesta Sedan SEL,Ford,Ford Fiesta Sedan,2011,120,112,Ford,1.6,4,
2011 Volvo C30 R-Design AT,Volvo,Volvo C30,2011,227,236,Volvo,2.5,5,Turbo
2011 Volvo C30 R-Design,Volvo,Volvo C30,2011,227,236,Volvo,2.5,5,Turbo
2010 Volvo C30 R-Design AT,Volvo,Volvo C30,2010,227,236,Volvo,2.5,5,Turbo
2010 Volvo C30 R-Design,Volvo,Volvo C30,2010,227,236,Volvo,2.5,5,Turbo
2010 Audi A4 Sedan 2.0 T Quattro AT,Audi,Audi A4 Sedan,2010,211,258,Audi,2.0,4,Turbo
2010 Audi A4 Sedan 2.0 T Quattro,Audi,Audi A4 Sedan,2010,211,258,Audi,2.0,4,Turbo
2010 Volvo S40 2.4i AT,Volvo,Volvo S40,2010,168,170,Volvo,2.4,5,
2010 Volvo S40 R-Design AT AWD,Volvo,Volvo S40,2010,227,236,Volvo,2.5,5,Turbo
2012 Audi A4 Avant 2.0 T,Audi,Audi A4 Avant,2012,211,258,Audi,2.0,4,Turbo
2011 Audi A4 Avant 2.0 T,Audi,Audi A4 Avant,2011,211,258,Audi,2.0,4,Turbo
2010 Audi A4 Avant 2.0 T,Audi,Audi A4 Avant,2010,211,258,Audi,2.0,4,Turbo
2011 Honda Accord EX Coup,Honda,Honda Accord Coup,2011,190,162,Honda,2.4,4,
2011 Honda Accord LX-S Coup AT,Honda,Honda Accord Coup,2011,190,162,Honda,2.4,4,
2011 Honda Accord EX-L V-6 Coup,Honda,Honda Accord Coup,2011,271,251,Honda,3.5,6,
2011 Honda Accord LX-S Coup,Honda,Honda Accord Coup,2011,190,162,Honda,2.4,4,
2011 Honda Accord EX-L V-6 Coup AT,Honda,Honda Accord Coup,2011,271,251,Honda,3.5,6,
2011 Honda Accord EX Coup AT,Honda,Honda Accord Coup,2011,190,162,Honda,2.4,4,
2011 Honda Accord EX-L Coup,Honda,Honda Accord Coup,2011,190,162,Honda,2.4,4,
2012 Ford Fiesta SE Hatchback,Ford,Ford Fiesta Hatchback,2012,120,112,Ford,1.6,4,
2012 Ford Fiesta SES Hatchback,Ford,Ford Fiesta Hatchback,2012,120,112,Ford,1.6,4,
2011 Ford Fiesta Hatchback SE,Ford,Ford Fiesta Hatchback,2011,120,112,Ford,1.6,4,
2011 Ford Fiesta Hatchback SES,Ford,Ford Fiesta Hatchback,2011,120,112,Ford,1.6,4,
2010 Honda Accord LX Sedan,Honda,Honda Accord Sedan,2010,177,161,Honda,2.4,4,
2010 Honda Accord LX Sedan AT,Honda,Honda Accord Sedan,2010,177,161,Honda,2.4,4,
2010 Honda Accord LX-P Sedan,Honda,Honda Accord Sedan,2010,177,161,Honda,2.4,4,
2010 Honda Accord LX-P Sedan AT,Honda,Honda Accord Sedan,2010,177,161,Honda,2.4,4,
2010 Honda Accord EX Sedan,Honda,Honda Accord Sedan,2010,190,162,Honda,2.4,4,
2010 Honda Accord EX Sedan AT,Honda,Honda Accord Sedan,2010,190,162,Honda,2.4,4,
2010 Honda Accord EX-L Sedan,Honda,Honda Accord Sedan,2010,190,162,Honda,2.4,4,
2010 Honda Accord EX-L Sedan AT,Honda,Honda Accord Sedan,2010,190,162,Honda,2.4,4,
2010 Honda Accord EX V-6 Sedan,Honda,Honda Accord Sedan,2010,271,254,Honda,3.5,6,
2011 Toyota Avalon,Toyota,Toyota Avalon,2011,268,248,Toyota,3.5,6,
2011 Toyota Avalon Limited,Toyota,Toyota Avalon,2011,268,248,Toyota,3.5,6,
2009 Nissan 370Z Coupe AT,Nissan,Nissan 370Z Coupe,2009,332,270,Nissan,3.7,6,
2009 Nissan 370Z Touring Coupe AT,Nissan,Nissan 370Z Coupe,2009,332,270,Nissan,3.7,6,
2009 Nissan 370Z Touring Coupe,Nissan,Nissan 370Z Coupe,2009,332,270,Nissan,3.7,6,
2009 Nissan 370Z Coupe,Nissan,Nissan 370Z Coupe,2009,332,270,Nissan,3.7,6,
2010 Toyota Avalon XL,Toyota,Toyota Avalon,2010,268,248,Toyota,3.5,6,
2010 Toyota Avalon XLS,Toyota,Toyota Avalon,2010,268,248,Toyota,3.5,6,
2010 Toyota Avalon Limited,Toyota,Toyota Avalon,2010,268,248,Toyota,3.5,6,
2011 Toyota Camry,Toyota,Toyota Camry,2011,169,167,Toyota,2.5,4,
2011 Toyota Camry AT,Toyota,Toyota Camry,2011,169,167,Toyota,2.5,4,
2011 Toyota Camry LE,Toyota,Toyota Camry,2011,169,167,Toyota,2.5,4,
2011 Toyota Camry LE AT,Toyota,Toyota Camry,2011,169,167,Toyota,2.5,4,
2011 Toyota Camry LE V6,Toyota,Toyota Camry,2011,268,248,Toyota,3.5,6,
2011 Toyota Camry SE,Toyota,Toyota Camry,2011,179,171,Toyota,2.5,4,
2011 Toyota Camry SE AT,Toyota,Toyota Camry,2011,179,171,Toyota,2.5,4,
2011 Toyota Camry SE V6,Toyota,Toyota Camry,2011,268,248,Toyota,3.5,6,
2011 Toyota Camry XLE,Toyota,Toyota Camry,2011,169,167,Toyota,2.5,4,
2011 Toyota Camry XLE V6,Toyota,Toyota Camry,2011,268,248,Toyota,3.5,6,
2012 Ford Focus S Sedan,Ford,Ford Focus Sedan,2012,160,146,Ford,2.0,4,
2012 Ford Focus SE Sedan,Ford,Ford Focus Sedan,2012,160,146,Ford,2.0,4,
2011 Ford Focus Sedan S,Ford,Ford Focus Sedan,2011,140,136,Ford,2.0,4,
2011 Ford Focus Sedan S AT,Ford,Ford Focus Sedan,2011,140,136,Ford,2.0,4,
2011 Ford Focus Sedan SE,Ford,Ford Focus Sedan,2011,140,136,Ford,2.0,4,
2011 Ford Focus Sedan SE AT,Ford,Ford Focus Sedan,2011,140,136,Ford,2.0,4,
2011 Ford Focus Sedan SES,Ford,Ford Focus Sedan,2011,140,136,Ford,2.0,4,
2011 Ford Focus Sedan SES AT,Ford,Ford Focus Sedan,2011,140,136,Ford,2.0,4,
2011 Ford Focus Sedan SEL,Ford,Ford Focus Sedan,2011,140,136,Ford,2.0,4,
2010 Ford Focus Sedan S,Ford,Ford Focus Sedan,2010,140,136,Ford,2.0,4,
2010 Ford Focus Sedan S AT,Ford,Ford Focus Sedan,2010,140,136,Ford,2.0,4,
2010 Ford Focus Sedan SE,Ford,Ford Focus Sedan,2010,140,136,Ford,2.0,4,
2010 Ford Focus Sedan SE AT,Ford,Ford Focus Sedan,2010,140,136,Ford,2.0,4,
2010 Ford Focus Sedan SES,Ford,Ford Focus Sedan,2010,140,136,Ford,2.0,4,
2010 Ford Focus Sedan SES AT,Ford,Ford Focus Sedan,2010,140,136,Ford,2.0,4,
2010 Ford Focus Sedan SEL,Ford,Ford Focus Sedan,2010,140,136,Ford,2.0,4,
2010 Ford Focus Sedan SEL AT,Ford,Ford Focus Sedan,2010,140,136,Ford,2.0,4,
2011 Nissan Altima Coupe 2.5 S,Nissan,Nissan Altima Coupe,2011,175,180,Nissan,2.5,4,
2011 Nissan Altima Coupe 3.5 SR,Nissan,Nissan Altima Coupe,2011,270,258,Nissan,3.5,6,
2012 Volvo S80 T6 AWD,Volvo,Volvo S80,2012,300,325,Volvo,3.0,6,Turbo
2012 Volvo S80 3.2,Volvo,Volvo S80,2012,240,236,Volvo,3.2,6,
2012 Volvo XC60 T6 AWD R-Design,Volvo,Volvo XC60,2012,325,354,Volvo,3.0,6,Turbo
2012 Volvo XC60 3.2,Volvo,Volvo XC60,2012,240,236,Volvo,3.2,6,
2012 Volvo XC60 T6 AWD,Volvo,Volvo XC60,2012,300,325,Volvo,3.0,6,Turbo
2012 Volvo XC70 T6 AWD,Volvo,Volvo XC70,2012,300,325,Volvo,3.0,6,Turbo
2012 Volvo XC70 3.2,Volvo,Volvo XC70,2012,240,236,Volvo,3.2,6,
2012 Volvo XC90 3.2,Volvo,Volvo XC90,2012,240,236,Volvo,3.2,6,
2012 Volvo XC90 3.2 R-Design,Volvo,Volvo XC90,2012,240,236,Volvo,3.2,6,
2010 Nissan Altima Coupe 2.5 S,Nissan,Nissan Altima Coupe,2010,175,180,Nissan,2.5,4,
2010 Nissan Altima Coupe 3.5 SR,Nissan,Nissan Altima Coupe,2010,270,258,Nissan,3.5,6,
2010 Toyota Camry,Toyota,Toyota Camry,2010,169,167,Toyota,2.5,4,
2010 Toyota Camry  AT,Toyota,Toyota Camry,2010,169,167,Toyota,2.5,4,
2010 Toyota Camry LE,Toyota,Toyota Camry,2010,169,167,Toyota,2.5,4,
2010 Toyota Camry LE AT,Toyota,Toyota Camry,2010,169,167,Toyota,2.5,4,
2010 Toyota Camry LE V6,Toyota,Toyota Camry,2010,268,248,Toyota,3.5,6,
2010 Toyota Camry SE,Toyota,Toyota Camry,2010,179,171,Toyota,2.5,4,
2010 Toyota Camry SE AT,Toyota,Toyota Camry,2010,179,171,Toyota,2.5,4,
2010 Toyota Camry SE V6,Toyota,Toyota Camry,2010,268,248,Toyota,3.5,6,
2010 Toyota Camry XLE,Toyota,Toyota Camry,2010,169,167,Toyota,2.5,4,
2010 Toyota Camry XLE V6,Toyota,Toyota Camry,2010,268,248,Toyota,3.5,6,
2010 Volvo XC90  R-Design,Volvo,Volvo XC90,2010,235,236,Volvo,3.2,6,
2011 Volvo XC90 R-Design,Volvo,Volvo XC90,2011,240,236,Volvo,3.2,6,
2010 Volvo XC60 T6 R-Design,Volvo,Volvo XC60,2010,281,295,Volvo,3.0,6,Turbo
2011 Volvo XC60 T6 R-Design,Volvo,Volvo XC60,2011,300,325,Volvo,3.0,6,Turbo
2011 Volvo XC60 3.2 R-Design,Volvo,Volvo XC60,2011,240,236,Volvo,3.2,6,
2010 Volvo V50 R-Design AT,Volvo,Volvo V50,2010,227,236,Volvo,2.5,5,Turbo
2011 Volvo V50 R-Design,Volvo,Volvo V50,2011,227,236,Volvo,2.5,5,Turbo
2012 Bentley Continental GT,Bentley,Bentley Continental GT,2012,567,516,Bentley,6.0,12,FFV
2010 Bentley Continental GT,Bentley,Bentley Continental GT,2010,552,479,Bentley,6.0,12,Turbo
2010 Bentley Continental GT Speed,Bentley,Bentley Continental GT,2010,600,553,Bentley,6.0,12,
2010 Ford Focus Coupe SE,Ford,Ford Focus Coupe,2010,140,136,Ford,2.0,4,
2010 Ford Focus Coupe SE AT,Ford,Ford Focus Coupe,2010,140,136,Ford,2.0,4,
2010 Ford Focus Coupe SES,Ford,Ford Focus Coupe,2010,140,136,Ford,2.0,4,
2010 Ford Focus Coupe SES AT,Ford,Ford Focus Coupe,2010,140,136,Ford,2.0,4,
2011 Bentley Continental GTC Speed,Bentley,Bentley Continental GTC,2011,600,553,Bentley,6.0,12,FFV
2010 Bentley Continental GTC Speed,Bentley,Bentley Continental GTC,2010,600,553,Bentley,6.0,12,
2010 Bentley Continental GTC,Bentley,Bentley Continental GTC,2010,552,479,Bentley,6.0,12,Turbo
2010 Bentley Azure T,Bentley,Bentley Azure T,2010,500,738,Bentley,6.8,8,
2011 Toyota Corolla,Toyota,Toyota Corolla,2011,132,128,Toyota,1.8,4,
2011 Toyota Corolla AT,Toyota,Toyota Corolla,2011,132,128,Toyota,1.8,4,
2011 Toyota Corolla LE,Toyota,Toyota Corolla,2011,132,128,Toyota,1.8,4,
2011 Toyota Corolla S,Toyota,Toyota Corolla,2011,132,128,Toyota,1.8,4,
2011 Toyota Corolla S AT,Toyota,Toyota Corolla,2011,132,128,Toyota,1.8,4,
2010 Rolls-Royce Ghost,Rolls-Royce,Rolls-Royce Ghost,2010,563,575,Rolls-Royce,6.6,12,
2011 Audi A5 Cabriolet 2.0 T Quattro,Audi,Audi A5 Cabriolet,2011,211,258,Audi,2.0,4,Turbo
2010 Audi A5 Cabriolet 2.0 T Quattro,Audi,Audi A5 Cabriolet,2010,211,258,Audi,2.0,4,Turbo
2010 Rolls-Royce Phantom Sedan,Rolls-Royce,Rolls-Royce Phantom Sedan,2010,453,531,Rolls-Royce,6.7,12,
2010 Rolls-Royce Phantom Sedan EWB,Rolls-Royce,Rolls-Royce Phantom Sedan,2010,453,531,Rolls-Royce,6.7,12,
2012 Audi A5 Coupe 2.0 T,Audi,Audi A5 Coupe,2012,211,258,Audi,2.0,4,Turbo
2012 Audi A5 Coupe 2.0 T AT,Audi,Audi A5 Coupe,2012,211,258,Audi,2.0,4,Turbo
2010 Rolls-Royce Phantom Coupe,Rolls-Royce,Rolls-Royce Phantom Coupe,2010,453,531,Rolls-Royce,6.7,12,
2011 Audi A5 Coupe 2.0 T AT,Audi,Audi A5 Coupe,2011,211,258,Audi,2.0,4,Turbo
2011 Audi A5 Coupe 2.0 T,Audi,Audi A5 Coupe,2011,211,258,Audi,2.0,4,Turbo
2010 Audi A5 Coupe 2.0 T,Audi,Audi A5 Coupe,2010,211,258,Audi,2.0,4,Turbo
2010 Audi A5 Coupe 3.2,Audi,Audi A5 Coupe,2010,265,243,Audi,3.2,6,
2010 Audi A5 Coupe 2.0 T AT,Audi,Audi A5 Coupe,2010,211,258,Audi,2.0,4,Turbo
2010 Rolls-Royce Phantom Drophead Coupe,Rolls-Royce,Rolls-Royce Phantom Drophead Coupe,2010,453,531,Rolls-Royce,6.7,12,
2011 Rolls-Royce Ghost,Rolls-Royce,Rolls-Royce Ghost,2011,563,575,Rolls-Royce,6.6,12,
2010 Honda Accord EX-L V-6 Sedan,Honda,Honda Accord Sedan,2010,271,254,Honda,3.5,6,
