id,car_id,driveline
257,2010 Rolls-Royce Phantom Coupe,Rear-wheel drive
258,2011 Audi A5 Coupe 2.0 T AT,All-wheel drive
259,2011 Audi A5 Coupe 2.0 T,All-wheel drive
260,2010 Audi A5 Coupe 2.0 T,All-wheel drive
261,2010 Audi A5 Coupe 3.2,All-wheel drive
262,2010 Audi A5 Coupe 2.0 T AT,All-wheel drive
263,2010 Rolls-Royce Phantom Drophead Coupe,Rear-wheel drive
264,2011 Rolls-Royce Ghost,Rear-wheel drive
265,2010 Honda Accord EX-L V-6 Sedan,Front-wheel drive
266,2011 Rolls-Royce Phantom Sedan,Rear-wheel drive
267,2011 Honda Accord LX Sedan,Front-wheel drive
268,2011 Honda Accord LX Sedan AT,Front-wheel drive
269,2011 Honda Accord LX-P Sedan,Front-wheel drive
270,2011 Honda Accord SE Sedan,Front-wheel drive
271,2011 Honda Accord EX Sedan,Front-wheel drive
272,2011 Honda Accord EX Sedan AT,Front-wheel drive
273,2011 Honda Accord EX V-6 Sedan,Front-wheel drive
274,2011 Honda Accord EX-L Sedan,Front-wheel drive
275,2011 Honda Accord EX-L V-6 Sedan,Front-wheel drive
276,2011 Rolls-Royce Phantom Sedan EWB,Rear-wheel drive
277,2011 Rolls-Royce Phantom Coupe,Rear-wheel drive
278,2011 Rolls-Royce Phantom Drophead Coupe,Rear-wheel drive
279,2011 Volkswagen Jetta SEL PZEV,Front-wheel drive
280,2011 Volkswagen Jetta SE PZEV AT,Front-wheel drive
281,2011 Volkswagen Jetta AT,Front-wheel drive
282,2011 Volkswagen Jetta S AT,Front-wheel drive
283,2011 Volkswagen Jetta SE AT,Front-wheel drive
284,2011 Volkswagen Jetta SEL PZEV AT,Front-wheel drive
285,2011 Volkswagen Jetta,Front-wheel drive
286,2011 Volkswagen Jetta SEL AT,Front-wheel drive
287,2011 Volkswagen Jetta SE,Front-wheel drive
288,2011 Volkswagen Jetta SEL,Front-wheel drive
289,2011 Volkswagen Jetta SE PZEV,Front-wheel drive
290,2011 Volkswagen Jetta S,Front-wheel drive
291,2010 Toyota Corolla,Front-wheel drive
292,2010 Toyota Corolla AT,Front-wheel drive
293,2010 Toyota Corolla S,Front-wheel drive
294,2010 Toyota Corolla S AT,Front-wheel drive
295,2010 Toyota Corolla LE,Front-wheel drive
296,2010 Toyota Corolla XLE,Front-wheel drive
297,2010 Toyota Corolla XRS,Front-wheel drive
298,2010 Toyota Corolla XRS AT,Front-wheel drive
299,2011 Toyota FJ Cruiser,Rear-wheel drive
300,2011 Toyota FJ Cruiser 4WD,All-wheel drive
301,2011 Toyota FJ Cruiser 4WD AT,All-wheel drive
302,2012 Audi A6 Sedan 3.0 T,All-wheel drive
303,2011 Audi A6 Sedan 3.0 T,All-wheel drive
304,2010 Volkswagen Jetta SE AT,Front-wheel drive
305,2010 Volkswagen Jetta S AT,Front-wheel drive
306,2010 Volkswagen Jetta SE PZEV AT,Front-wheel drive
307,2010 Volkswagen Jetta Limited Edition,Front-wheel drive
308,2010 Volkswagen Jetta S,Front-wheel drive
309,2010 Volkswagen Jetta Limited Edition AT,Front-wheel drive
310,2010 Volkswagen Jetta S PZEV AT,Front-wheel drive
311,2010 Volkswagen Jetta S PZEV,Front-wheel drive
312,2010 Volkswagen Jetta Limited Edition PZEV AT,Front-wheel drive
313,2010 Volkswagen Jetta Sedan SE PZEV,Front-wheel drive
314,2010 Volkswagen Jetta SE,Front-wheel drive
315,2010 Volkswagen Jetta Wolfsburg Edition,Front-wheel drive
316,2010 Volkswagen Jetta Wolfsburg Edition PZEV,Front-wheel drive
317,2010 Volkswagen Jetta TDI Clean Diesel,Front-wheel drive
318,2010 Volkswagen Jetta SEL PZEV AT,Front-wheel drive
319,2010 Volkswagen Jetta SEL AT,Front-wheel drive
320,2010 Volkswagen Jetta TDI Cup Edition,Front-wheel drive
321,2010 Toyota FJ Cruiser,Rear-wheel drive
322,2010 Toyota FJ Cruiser 4WD,All-wheel drive
323,2010 Toyota FJ Cruiser 4WD AT,All-wheel drive
324,2011 Toyota Highlander,Front-wheel drive
325,2011 Toyota Highlander V6,Front-wheel drive
326,2011 Toyota Highlander V6 4WD,All-wheel drive
327,2011 Toyota Highlander SE,Front-wheel drive
328,2011 Toyota Highlander SE V6,Front-wheel drive
329,2011 Toyota Highlander SE V6 4WD,All-wheel drive
330,2011 Toyota Highlander Limited,Front-wheel drive
331,2011 Toyota Highlander Limited 4WD,All-wheel drive
332,2010 Toyota Highlander,Front-wheel drive
333,2010 Toyota Highlander V6,Front-wheel drive
334,2010 Toyota Highlander V6 4WD,All-wheel drive
335,2010 Toyota Highlander Sport,Front-wheel drive
336,2010 Toyota Highlander Sport 4WD,All-wheel drive
337,2010 Toyota Highlander SE,Front-wheel drive
338,2010 Toyota Highlander SE 4WD,All-wheel drive
339,2010 Toyota Highlander Limited,Front-wheel drive
340,2010 Toyota Highlander Limited 4WD,All-wheel drive
341,2011 Honda Accord Crosstour EX Hatchback,Front-wheel drive
342,2011 Honda Accord Crosstour EX-L Hatchback,Front-wheel drive
343,2011 Honda Accord Crosstour EX-L Hatchback 4WD,All-wheel drive
344,2011 Toyota Land Cruiser,All-wheel drive
345,2010 Toyota Land Cruiser,All-wheel drive
346,2011 Toyota Matrix,Front-wheel drive
347,2011 Toyota Matrix AT,Front-wheel drive
348,2011 Toyota Matrix S,Front-wheel drive
349,2011 Toyota Matrix S AT,Front-wheel drive
350,2011 Toyota Matrix S AT AWD,All-wheel drive
351,2010 Maybach 57 Zeppelin,Rear-wheel drive
352,2010 Maybach 57,Rear-wheel drive
353,2010 Maybach 57 S,Rear-wheel drive
355,2011 Maybach 57 S,Rear-wheel drive
356,2010 Maybach 62,Rear-wheel drive
357,2010 Maybach 62 S,Rear-wheel drive
358,2010 Maybach 62 Zeppelin,Rear-wheel drive
359,2011 Maybach 62 S,Rear-wheel drive
360,2011 Maybach 62,Rear-wheel drive
361,2009 Maybach Landaulet,Rear-wheel drive
362,2010 Maybach Landaulet,Rear-wheel drive
363,2011 Maybach Landaulet,Rear-wheel drive
364,2010 Toyota Matrix,Front-wheel drive
365,2010 Toyota Matrix  AT,Front-wheel drive
366,2010 Toyota Matrix  S,Front-wheel drive
367,2010 Toyota Matrix S AT,Front-wheel drive
368,2010 Toyota Matrix S AT AWD,All-wheel drive
369,2010 Toyota Matrix XRS,Front-wheel drive
370,2010 Toyota Matrix XRS AT,Front-wheel drive
372,2011 Nissan Armada SV 4x4 FFV,All-wheel drive
373,2011 Nissan Armada Platinum 4x4,All-wheel drive
374,2011 Nissan Armada SL 4x4 FFV,All-wheel drive
375,2011 Nissan Armada Platinum,Rear-wheel drive
376,2011 Nissan Armada SV FFV,Rear-wheel drive
377,2011 Nissan Armada SL FFV,Rear-wheel drive
378,2011 Volkswagen Jetta SportWagen S PZEV,Front-wheel drive
379,2011 Volkswagen Jetta SportWagen S PZEV AT,Front-wheel drive
380,2011 Volkswagen Jetta SportWagen S,Front-wheel drive
381,2011 Volkswagen Jetta SportWagen S AT,Front-wheel drive
382,2011 Volkswagen Jetta SportWagen SE,Front-wheel drive
383,2011 Volkswagen Jetta SportWagen SE PZEV,Front-wheel drive
384,2011 Volkswagen Jetta SportWagen TDI Clean Diesel,Front-wheel drive
385,2011 Chevrolet Aveo  LS,Front-wheel drive
386,2011 Chevrolet Aveo  1LT,Front-wheel drive
387,2011 Chevrolet Aveo  1LT AT,Front-wheel drive
388,2011 Chevrolet Aveo  2LT,Front-wheel drive
389,2011 Chevrolet Aveo  2LT AT,Front-wheel drive
390,2010 Volkswagen CC Sport PZEV,Front-wheel drive
391,2010 Volkswagen CC Sport,Front-wheel drive
392,2010 Volkswagen CC VR6 Sport,Front-wheel drive
393,2010 Volkswagen CC VR6 4Motion Executive,Front-wheel drive
394,2011 Audi A6 Sedan 4.2,All-wheel drive
395,2010 Audi A6 Sedan 3.0 T,All-wheel drive
396,2011 Chevrolet  Aveo5 LS,Front-wheel drive
397,2011 Chevrolet  Aveo5 1LT,Front-wheel drive
398,2011 Chevrolet  Aveo5 1LT AT,Front-wheel drive
399,2011 Chevrolet  Aveo5 2LT,Front-wheel drive
400,2011 Chevrolet  Aveo5 2LT AT,Front-wheel drive
401,2010 Audi A6 Sedan 4.2,All-wheel drive
402,2011 Audi A6 Avant,All-wheel drive
403,2010 Audi A6 Avant,All-wheel drive
404,2012 Audi A7,All-wheel drive
405,2011 Audi A8,All-wheel drive
406,2011 Audi A8 L,All-wheel drive
407,2010 Nissan Armada SE 4x4,All-wheel drive
408,2010 Nissan Armada Titanium 4x4,All-wheel drive
409,2010 Nissan Armada Platinum,Rear-wheel drive
410,2010 Nissan Armada SE,Rear-wheel drive
411,2010 Nissan Armada Titanium,Rear-wheel drive
412,2010 Nissan Armada Platinum 4x4,All-wheel drive
413,2010 Audi A8 L,All-wheel drive
414,2010 Audi A8,All-wheel drive
415,2011 Nissan Cube 1.8,Front-wheel drive
416,2011 Nissan Cube 1.8 S,Front-wheel drive
417,2010 Nissan Cube 1.8,Front-wheel drive
418,2010 Nissan Cube 1.8 S,Front-wheel drive
419,2012 Audi Q5 2.0 T,All-wheel drive
420,2012 Audi Q5 3.2,All-wheel drive
421,2011 Audi Q5 2.0 T,All-wheel drive
422,2011 Audi Q5 3.2,All-wheel drive
423,2010 Honda Accord Crosstour EX Hatchback,Front-wheel drive
424,2010 Honda Accord Crosstour EX-L Hatchback,Front-wheel drive
425,2010 Honda Accord Crosstour EX-L Hatchback 4WD,All-wheel drive
426,2010 Audi Q5 3.2,All-wheel drive
427,2009 Audi Q5 3.2,All-wheel drive
428,2011 Honda Civic DX Coup,Front-wheel drive
429,2011 Honda Civic DX Coup AT,Front-wheel drive
430,2011 Honda Civic LX Coup,Front-wheel drive
431,2011 Honda Civic LX Coup AT,Front-wheel drive
432,2011 Honda Civic EX Coup,Front-wheel drive
433,2011 Honda Civic EX Coup AT,Front-wheel drive
434,2011 Honda Civic EX-L Coup,Front-wheel drive
435,2011 Honda Civic Si Coup,Front-wheel drive
436,2012 Audi Q7 3.0 T S Line,All-wheel drive
437,2012 Audi Q7 3.0 T,All-wheel drive
438,2012 Audi Q7 3.0 TDI,All-wheel drive
439,2010 Lamborghini Gallardo Coupe LP 550-2 Valentino Balboni,Rear-wheel drive
440,2010 Chevrolet  Aveo5 LS,Front-wheel drive
441,2010 Chevrolet  Aveo5 1LT,Front-wheel drive
442,2010 Chevrolet  Aveo5 1LT AT,Front-wheel drive
443,2010 Chevrolet  Aveo5 2LT,Front-wheel drive
444,2010 Chevrolet  Aveo5 2LT AT,Front-wheel drive
445,2010 Lexus LS 460,Rear-wheel drive
446,2010 Lexus LS 460 AWD,All-wheel drive
447,2010 Lexus LS 460 L,Rear-wheel drive
448,2010 Lexus LS 460 L AWD,All-wheel drive
449,2011 Lamborghini Gallardo Coupe LP 560-4,All-wheel drive
450,2011 Lamborghini Gallardo Coupe LP 560-4 Spyder,All-wheel drive
451,2012 Hyundai Accent Hatchback SE AT,Front-wheel drive
452,2012 Hyundai Accent Hatchback GS AT,Front-wheel drive
453,2012 Hyundai Accent Hatchback SE,Front-wheel drive
454,2012 Hyundai Accent Hatchback GS,Front-wheel drive
455,2011 Lexus LS 460,Rear-wheel drive
456,2011 Lexus LS 460 AWD,All-wheel drive
457,2011 Lexus LS 460 L,Rear-wheel drive
458,2011 Lexus LS 460 L AWD,All-wheel drive
459,2011 Hyundai Accent Hatchback GS AT,Front-wheel drive
460,2011 Hyundai Accent Hatchback SE,Front-wheel drive
461,2011 Hyundai Accent Hatchback GS,Front-wheel drive
462,2011 Hyundai Accent Hatchback GL,Front-wheel drive
463,2011 Hyundai Accent Hatchback SE AT,Front-wheel drive
464,2010 Hyundai Accent Hatchback GS,Front-wheel drive
465,2010 Hyundai Accent Hatchback SE AT,Front-wheel drive
466,2010 Hyundai Accent Hatchback SE,Front-wheel drive
467,2010 Hyundai Accent Hatchback GS AT,Front-wheel drive
468,2010 Hyundai Accent Hatchback Blue,Front-wheel drive
469,2012 Hyundai Accent Sedan GLS,Front-wheel drive
470,2012 Hyundai Accent Sedan GLS AT,Front-wheel drive
471,2011 Hyundai Accent Sedan GLS AT,Front-wheel drive
472,2011 Hyundai Accent Sedan GLS,Front-wheel drive
473,2010 Hyundai Accent Sedan GLS,Front-wheel drive
474,2010 Hyundai Accent Sedan GLS AT,Front-wheel drive
475,2011 Hyundai Azera GLS,Front-wheel drive
476,2011 Hyundai Azera Limited,Front-wheel drive
477,2010 Hyundai Azera Limited,Front-wheel drive
478,2010 Hyundai Azera GLS,Front-wheel drive
479,2011 Audi Q7 3.0 T S Line,All-wheel drive
480,2011 Audi Q7 3.0 T,All-wheel drive
481,2011 Audi Q7 3.0 TDI,All-wheel drive
482,2010 Audi Q7 3.6,All-wheel drive
483,2010 Audi Q7 3.0 TDI,All-wheel drive
484,2010 Audi Q7 4.2,All-wheel drive
485,2011 Toyota RAV4,Front-wheel drive
486,2011 Toyota RAV4 4WD,All-wheel drive
487,2011 Toyota RAV4 V6,Front-wheel drive
488,2011 Toyota RAV4 V6 4WD,All-wheel drive
489,2011 Toyota RAV4 Sport,Front-wheel drive
490,2011 Toyota RAV4 Sport 4WD,All-wheel drive
491,2011 Toyota RAV4 Sport V6,Front-wheel drive
492,2011 Toyota RAV4 Sport V6 4WD,All-wheel drive
