id,car_id,fuel_type
96,2010 Toyota 4Runner SR5 V6 4WD,Gasoline
97,2010 Toyota 4Runner Trail,Gasoline
98,2010 Toyota 4Runner Limited,Gasoline
99,2010 Toyota 4Runner Limited 4WD,Gasoline
100,2012 Audi A3 2.0 T,Gasoline
101,2010 Honda Accord EX-L V-6 Coup,Gasoline
102,2010 Honda Accord EX Coup AT,Gasoline
103,2010 Honda Accord EX-L Coup,Gasoline
104,2010 Honda Accord EX-L Coup AT,Gasoline
105,2010 Honda Accord EX-L V-6 Coup AT,Gasoline
106,2010 Honda Accord EX Coup,Gasoline
107,2010 Honda Accord LX-S Coup AT,Gasoline
108,2010 Honda Accord LX-S Coup,Gasoline
109,2011 Nissan 370Z Roadster,Gasoline
110,2011 Nissan 370Z Roadster AT,Gasoline
111,2011 Nissan 370Z Touring Roadster,Gasoline
112,2011 Nissan 370Z Touring Roadster AT,Gasoline
113,2010 Nissan 370Z Touring Roadster,Gasoline
114,2010 Nissan 370Z Roadster,Gasoline
115,2010 Nissan 370Z Roadster AT,Gasoline
116,2010 Nissan 370Z Touring Roadster AT,Gasoline
117,2011 Audi A3 2.0 T,Gasoline
118,2011 Nissan 370Z Coupe,Gasoline
119,2011 Nissan 370Z Touring Coupe,Gasoline
120,2011 Nissan 370Z Touring Coupe AT,Gasoline
122,2010 Audi A3 2.0 T,Gasoline
123,2010 Nissan 370Z Touring Coupe AT,Gasoline
124,2010 Nissan 370Z Coupe,Gasoline
125,2010 Nissan 370Z Touring Coupe,Gasoline
126,2010 Nissan 370Z Coupe AT,Gasoline
127,2012 Audi A4 Sedan 2.0 T Quattro,Gasoline
128,2012 Audi A4 Sedan 2.0 T Quattro AT,Gasoline
129,2011 Audi A4 Sedan 2.0 T Quattro,Gasoline
130,2011 Audi A4 Sedan 2.0 T Quattro AT,Gasoline
131,2012 Ford Fiesta S Sedan,Gasoline
132,2012 Ford Fiesta SE Sedan,Gasoline
133,2012 Ford Fiesta SEL Sedan,Gasoline
134,2011 Ford Fiesta Sedan S,Gasoline
135,2011 Ford Fiesta Sedan SE,Gasoline
136,2011 Ford Fiesta Sedan SEL,Gasoline
137,2011 Volvo C30 R-Design AT,Gasoline
138,2011 Volvo C30 R-Design,Gasoline
139,2010 Volvo C30 R-Design AT,Gasoline
140,2010 Volvo C30 R-Design,Gasoline
141,2010 Audi A4 Sedan 2.0 T Quattro AT,Gasoline
142,2010 Audi A4 Sedan 2.0 T Quattro,Gasoline
143,2010 Volvo S40 2.4i AT,Gasoline
144,2010 Volvo S40 R-Design AT AWD,Gasoline
145,2012 Audi A4 Avant 2.0 T,Gasoline
146,2011 Audi A4 Avant 2.0 T,Gasoline
147,2010 Audi A4 Avant 2.0 T,Gasoline
148,2011 Honda Accord EX Coup,Gasoline
149,2011 Honda Accord LX-S Coup AT,Gasoline
150,2011 Honda Accord EX-L V-6 Coup,Gasoline
151,2011 Honda Accord LX-S Coup,Gasoline
152,2011 Honda Accord EX-L V-6 Coup AT,Gasoline
153,2011 Honda Accord EX Coup AT,Gasoline
154,2011 Honda Accord EX-L Coup,Gasoline
155,2012 Ford Fiesta SE Hatchback,Gasoline
156,2012 Ford Fiesta SES Hatchback,Gasoline
157,2011 Ford Fiesta Hatchback SE,Gasoline
158,2011 Ford Fiesta Hatchback SES,Gasoline
159,2010 Honda Accord LX Sedan,Gasoline
160,2010 Honda Accord LX Sedan AT,Gasoline
161,2010 Honda Accord LX-P Sedan,Gasoline
162,2010 Honda Accord LX-P Sedan AT,Gasoline
163,2010 Honda Accord EX Sedan,Gasoline
164,2010 Honda Accord EX Sedan AT,Gasoline
165,2010 Honda Accord EX-L Sedan,Gasoline
166,2010 Honda Accord EX-L Sedan AT,Gasoline
167,2010 Honda Accord EX V-6 Sedan,Gasoline
168,2011 Toyota Avalon,Gasoline
169,2011 Toyota Avalon Limited,Gasoline
170,2009 Nissan 370Z Coupe AT,Gasoline
171,2009 Nissan 370Z Touring Coupe AT,Gasoline
172,2009 Nissan 370Z Touring Coupe,Gasoline
173,2009 Nissan 370Z Coupe,Gasoline
174,2010 Toyota Avalon XL,Gasoline
175,2010 Toyota Avalon XLS,Gasoline
176,2010 Toyota Avalon Limited,Gasoline
177,2011 Toyota Camry,Gasoline
178,2011 Toyota Camry AT,Gasoline
179,2011 Toyota Camry LE,Gasoline
180,2011 Toyota Camry LE AT,Gasoline
181,2011 Toyota Camry LE V6,Gasoline
182,2011 Toyota Camry SE,Gasoline
183,2011 Toyota Camry SE AT,Gasoline
184,2011 Toyota Camry SE V6,Gasoline
185,2011 Toyota Camry XLE,Gasoline
186,2011 Toyota Camry XLE V6,Gasoline
187,2012 Ford Focus S Sedan,Gasoline
188,2012 Ford Focus SE Sedan,Gasoline
189,2011 Ford Focus Sedan S,Gasoline
190,2011 Ford Focus Sedan S AT,Gasoline
191,2011 Ford Focus Sedan SE,Gasoline
192,2011 Ford Focus Sedan SE AT,Gasoline
193,2011 Ford Focus Sedan SES,Gasoline
194,2011 Ford Focus Sedan SES AT,Gasoline
195,2011 Ford Focus Sedan SEL,Gasoline
196,2010 Ford Focus Sedan S,Gasoline
197,2010 Ford Focus Sedan S AT,Gasoline
198,2010 Ford Focus Sedan SE,Gasoline
199,2010 Ford Focus Sedan SE AT,Gasoline
200,2010 Ford Focus Sedan SES,Gasoline
201,2010 Ford Focus Sedan SES AT,Gasoline
202,2010 Ford Focus Sedan SEL,Gasoline
203,2010 Ford Focus Sedan SEL AT,Gasoline
204,2011 Nissan Altima Coupe 2.5 S,Gasoline
205,2011 Nissan Altima Coupe 3.5 SR,Gasoline
206,2012 Volvo S80 T6 AWD,Gasoline
207,2012 Volvo S80 3.2,Gasoline
208,2012 Volvo XC60 T6 AWD R-Design,Gasoline
209,2012 Volvo XC60 3.2,Gasoline
210,2012 Volvo XC60 T6 AWD,Gasoline
211,2012 Volvo XC70 T6 AWD,Gasoline
212,2012 Volvo XC70 3.2,Gasoline
213,2012 Volvo XC90 3.2,Gasoline
214,2012 Volvo XC90 3.2 R-Design,Gasoline
215,2010 Nissan Altima Coupe 2.5 S,Gasoline
216,2010 Nissan Altima Coupe 3.5 SR,Gasoline
217,2010 Toyota Camry,Gasoline
218,2010 Toyota Camry  AT,Gasoline
219,2010 Toyota Camry LE,Gasoline
220,2010 Toyota Camry LE AT,Gasoline
221,2010 Toyota Camry LE V6,Gasoline
222,2010 Toyota Camry SE,Gasoline
223,2010 Toyota Camry SE AT,Gasoline
224,2010 Toyota Camry SE V6,Gasoline
225,2010 Toyota Camry XLE,Gasoline
226,2010 Toyota Camry XLE V6,Gasoline
227,2010 Volvo XC90  R-Design,Gasoline
228,2011 Volvo XC90 R-Design,Gasoline
229,2010 Volvo XC60 T6 R-Design,Gasoline
230,2011 Volvo XC60 T6 R-Design,Gasoline
231,2011 Volvo XC60 3.2 R-Design,Gasoline
232,2010 Volvo V50 R-Design AT,Gasoline
233,2011 Volvo V50 R-Design,Gasoline
234,2012 Bentley Continental GT,E85
235,2010 Bentley Continental GT,Gasoline
236,2010 Bentley Continental GT Speed,Gasoline
237,2010 Ford Focus Coupe SE,Gasoline
238,2010 Ford Focus Coupe SE AT,Gasoline
239,2010 Ford Focus Coupe SES,Gasoline
240,2010 Ford Focus Coupe SES AT,Gasoline
241,2011 Bentley Continental GTC Speed,Gasoline
242,2010 Bentley Continental GTC Speed,Gasoline
243,2010 Bentley Continental GTC,Gasoline
244,2010 Bentley Azure T,Gasoline
245,2011 Toyota Corolla,Gasoline
246,2011 Toyota Corolla AT,Gasoline
247,2011 Toyota Corolla LE,Gasoline
248,2011 Toyota Corolla S,Gasoline
249,2011 Toyota Corolla S AT,Gasoline
250,2010 Rolls-Royce Ghost,Gasoline
251,2011 Audi A5 Cabriolet 2.0 T Quattro,Gasoline
252,2010 Audi A5 Cabriolet 2.0 T Quattro,Gasoline
253,2010 Rolls-Royce Phantom Sedan,Gasoline
254,2010 Rolls-Royce Phantom Sedan EWB,Gasoline
255,2012 Audi A5 Coupe 2.0 T,Gasoline
256,2012 Audi A5 Coupe 2.0 T AT,Gasoline
257,2010 Rolls-Royce Phantom Coupe,Gasoline
258,2011 Audi A5 Coupe 2.0 T AT,Gasoline
259,2011 Audi A5 Coupe 2.0 T,Gasoline
260,2010 Audi A5 Coupe 2.0 T,Gasoline
261,2010 Audi A5 Coupe 3.2,Gasoline
262,2010 Audi A5 Coupe 2.0 T AT,Gasoline
263,2010 Rolls-Royce Phantom Drophead Coupe,Gasoline
264,2011 Rolls-Royce Ghost,Gasoline
265,2010 Honda Accord EX-L V-6 Sedan,Gasoline
266,2011 Rolls-Royce Phantom Sedan,Gasoline
267,2011 Honda Accord LX Sedan,Gasoline
268,2011 Honda Accord LX Sedan AT,Gasoline
269,2011 Honda Accord LX-P Sedan,Gasoline
270,2011 Honda Accord SE Sedan,Gasoline
271,2011 Honda Accord EX Sedan,Gasoline
272,2011 Honda Accord EX Sedan AT,Gasoline
273,2011 Honda Accord EX V-6 Sedan,Gasoline
274,2011 Honda Accord EX-L Sedan,Gasoline
275,2011 Honda Accord EX-L V-6 Sedan,Gasoline
276,2011 Rolls-Royce Phantom Sedan EWB,Gasoline
277,2011 Rolls-Royce Phantom Coupe,Gasoline
278,2011 Rolls-Royce Phantom Drophead Coupe,Gasoline
279,2011 Volkswagen Jetta SEL PZEV,Gasoline
280,2011 Volkswagen Jetta SE PZEV AT,Gasoline
281,2011 Volkswagen Jetta AT,Gasoline
282,2011 Volkswagen Jetta S AT,Gasoline
283,2011 Volkswagen Jetta SE AT,Gasoline
284,2011 Volkswagen Jetta SEL PZEV AT,Gasoline
285,2011 Volkswagen Jetta,Gasoline
286,2011 Volkswagen Jetta SEL AT,Gasoline
287,2011 Volkswagen Jetta SE,Gasoline
288,2011 Volkswagen Jetta SEL,Gasoline
289,2011 Volkswagen Jetta SE PZEV,Gasoline
290,2011 Volkswagen Jetta S,Gasoline
291,2010 Toyota Corolla,Gasoline
292,2010 Toyota Corolla AT,Gasoline
293,2010 Toyota Corolla S,Gasoline
294,2010 Toyota Corolla S AT,Gasoline
295,2010 Toyota Corolla LE,Gasoline
296,2010 Toyota Corolla XLE,Gasoline
297,2010 Toyota Corolla XRS,Gasoline
298,2010 Toyota Corolla XRS AT,Gasoline
299,2011 Toyota FJ Cruiser,Gasoline
300,2011 Toyota FJ Cruiser 4WD,Gasoline
301,2011 Toyota FJ Cruiser 4WD AT,Gasoline
302,2012 Audi A6 Sedan 3.0 T,Gasoline
303,2011 Audi A6 Sedan 3.0 T,Gasoline
304,2010 Volkswagen Jetta SE AT,Gasoline
305,2010 Volkswagen Jetta S AT,Gasoline
306,2010 Volkswagen Jetta SE PZEV AT,Gasoline
307,2010 Volkswagen Jetta Limited Edition,Gasoline
308,2010 Volkswagen Jetta S,Gasoline
309,2010 Volkswagen Jetta Limited Edition AT,Gasoline
310,2010 Volkswagen Jetta S PZEV AT,Gasoline
311,2010 Volkswagen Jetta S PZEV,Gasoline
312,2010 Volkswagen Jetta Limited Edition PZEV AT,Gasoline
313,2010 Volkswagen Jetta Sedan SE PZEV,Gasoline
314,2010 Volkswagen Jetta SE,Gasoline
315,2010 Volkswagen Jetta Wolfsburg Edition,Gasoline
316,2010 Volkswagen Jetta Wolfsburg Edition PZEV,Gasoline
317,2010 Volkswagen Jetta TDI Clean Diesel,Gasoline
318,2010 Volkswagen Jetta SEL PZEV AT,Gasoline
319,2010 Volkswagen Jetta SEL AT,Gasoline
320,2010 Volkswagen Jetta TDI Cup Edition,Gasoline
321,2010 Toyota FJ Cruiser,Gasoline
322,2010 Toyota FJ Cruiser 4WD,Gasoline
323,2010 Toyota FJ Cruiser 4WD AT,Gasoline
324,2011 Toyota Highlander,Gasoline
325,2011 Toyota Highlander V6,Gasoline
326,2011 Toyota Highlander V6 4WD,Gasoline
327,2011 Toyota Highlander SE,Gasoline
328,2011 Toyota Highlander SE V6,Gasoline
329,2011 Toyota Highlander SE V6 4WD,Gasoline
330,2011 Toyota Highlander Limited,Gasoline
331,2011 Toyota Highlander Limited 4WD,Gasoline
332,2010 Toyota Highlander,Gasoline
333,2010 Toyota Highlander V6,Gasoline
334,2010 Toyota Highlander V6 4WD,Gasoline
335,2010 Toyota Highlander Sport,Gasoline
336,2010 Toyota Highlander Sport 4WD,Gasoline
337,2010 Toyota Highlander SE,Gasoline
338,2010 Toyota Highlander SE 4WD,Gasoline
339,2010 Toyota Highlander Limited,Gasoline
340,2010 Toyota Highlander Limited 4WD,Gasoline
341,2011 Honda Accord Crosstour EX Hatchback,Gasoline
342,2011 Honda Accord Crosstour EX-L Hatchback,Gasoline
343,2011 Honda Accord Crosstour EX-L Hatchback 4WD,Gasoline
344,2011 Toyota Land Cruiser,Gasoline
345,2010 Toyota Land Cruiser,Gasoline
346,2011 Toyota Matrix,Gasoline
347,2011 Toyota Matrix AT,Gasoline
348,2011 Toyota Matrix S,Gasoline
349,2011 Toyota Matrix S AT,Gasoline
350,2011 Toyota Matrix S AT AWD,Gasoline
351,2010 Maybach 57 Zeppelin,Gasoline
352,2010 Maybach 57,Gasoline
353,2010 Maybach 57 S,Gasoline
355,2011 Maybach 57 S,Gasoline
356,2010 Maybach 62,Gasoline
357,2010 Maybach 62 S,Gasoline
358,2010 Maybach 62 Zeppelin,Gasoline
359,2011 Maybach 62 S,Gasoline
360,2011 Maybach 62,Gasoline
361,2009 Maybach Landaulet,Gasoline
362,2010 Maybach Landaulet,Gasoline
363,2011 Maybach Landaulet,Gasoline
364,2010 Toyota Matrix,Gasoline
365,2010 Toyota Matrix  AT,Gasoline
366,2010 Toyota Matrix  S,Gasoline
367,2010 Toyota Matrix S AT,Gasoline
368,2010 Toyota Matrix S AT AWD,Gasoline
369,2010 Toyota Matrix XRS,Gasoline
370,2010 Toyota Matrix XRS AT,Gasoline
372,2011 Nissan Armada SV 4x4 FFV,Gasoline
373,2011 Nissan Armada Platinum 4x4,Gasoline
374,2011 Nissan Armada SL 4x4 FFV,Gasoline
375,2011 Nissan Armada Platinum,Gasoline
376,2011 Nissan Armada SV FFV,Gasoline
377,2011 Nissan Armada SL FFV,Gasoline
378,2011 Volkswagen Jetta SportWagen S PZEV,Gasoline
379,2011 Volkswagen Jetta SportWagen S PZEV AT,Gasoline
380,2011 Volkswagen Jetta SportWagen S,Gasoline
381,2011 Volkswagen Jetta SportWagen S AT,Gasoline
382,2011 Volkswagen Jetta SportWagen SE,Gasoline
383,2011 Volkswagen Jetta SportWagen SE PZEV,Gasoline
384,2011 Volkswagen Jetta SportWagen TDI Clean Diesel,Gasoline
385,2011 Chevrolet Aveo  LS,Gasoline
386,2011 Chevrolet Aveo  1LT,Gasoline
387,2011 Chevrolet Aveo  1LT AT,Gasoline
388,2011 Chevrolet Aveo  2LT,Gasoline
389,2011 Chevrolet Aveo  2LT AT,Gasoline
390,2010 Volkswagen CC Sport PZEV,Gasoline
391,2010 Volkswagen CC Sport,Gasoline
392,2010 Volkswagen CC VR6 Sport,Gasoline
393,2010 Volkswagen CC VR6 4Motion Executive,Gasoline
394,2011 Audi A6 Sedan 4.2,Gasoline
395,2010 Audi A6 Sedan 3.0 T,Gasoline
396,2011 Chevrolet  Aveo5 LS,Gasoline
397,2011 Chevrolet  Aveo5 1LT,Gasoline
398,2011 Chevrolet  Aveo5 1LT AT,Gasoline
399,2011 Chevrolet  Aveo5 2LT,Gasoline
400,2011 Chevrolet  Aveo5 2LT AT,Gasoline
401,2010 Audi A6 Sedan 4.2,Gasoline
402,2011 Audi A6 Avant,Gasoline
403,2010 Audi A6 Avant,Gasoline
404,2012 Audi A7,Gasoline
405,2011 Audi A8,Gasoline
406,2011 Audi A8 L,Gasoline
407,2010 Nissan Armada SE 4x4,Gasoline
408,2010 Nissan Armada Titanium 4x4,Gasoline
409,2010 Nissan Armada Platinum,Gasoline
410,2010 Nissan Armada SE,Gasoline
411,2010 Nissan Armada Titanium,Gasoline
412,2010 Nissan Armada Platinum 4x4,Gasoline
413,2010 Audi A8 L,Gasoline
414,2010 Audi A8,Gasoline
415,2011 Nissan Cube 1.8,Gasoline
416,2011 Nissan Cube 1.8 S,Gasoline
417,2010 Nissan Cube 1.8,Gasoline
418,2010 Nissan Cube 1.8 S,Gasoline
419,2012 Audi Q5 2.0 T,Gasoline
420,2012 Audi Q5 3.2,Gasoline
421,2011 Audi Q5 2.0 T,Gasoline
422,2011 Audi Q5 3.2,Gasoline
423,2010 Honda Accord Crosstour EX Hatchback,Gasoline
424,2010 Honda Accord Crosstour EX-L Hatchback,Gasoline
425,2010 Honda Accord Crosstour EX-L Hatchback 4WD,Gasoline
426,2010 Audi Q5 3.2,Gasoline
427,2009 Audi Q5 3.2,Gasoline
428,2011 Honda Civic DX Coup,Gasoline
429,2011 Honda Civic DX Coup AT,Gasoline
430,2011 Honda Civic LX Coup,Gasoline
431,2011 Honda Civic LX Coup AT,Gasoline
432,2011 Honda Civic EX Coup,Gasoline
433,2011 Honda Civic EX Coup AT,Gasoline
434,2011 Honda Civic EX-L Coup,Gasoline
435,2011 Honda Civic Si Coup,Gasoline
436,2012 Audi Q7 3.0 T S Line,Gasoline
437,2012 Audi Q7 3.0 T,Gasoline
438,2012 Audi Q7 3.0 TDI,Diesel fuel
439,2010 Lamborghini Gallardo Coupe LP 550-2 Valentino Balboni,Gasoline
440,2010 Chevrolet  Aveo5 LS,Gasoline
441,2010 Chevrolet  Aveo5 1LT,Gasoline
442,2010 Chevrolet  Aveo5 1LT AT,Gasoline
443,2010 Chevrolet  Aveo5 2LT,Gasoline
444,2010 Chevrolet  Aveo5 2LT AT,Gasoline
445,2010 Lexus LS 460,Gasoline
446,2010 Lexus LS 460 AWD,Gasoline
447,2010 Lexus LS 460 L,Gasoline
448,2010 Lexus LS 460 L AWD,Gasoline
449,2011 Lamborghini Gallardo Coupe LP 560-4,Gasoline
450,2011 Lamborghini Gallardo Coupe LP 560-4 Spyder,Gasoline
451,2012 Hyundai Accent Hatchback SE AT,Gasoline
452,2012 Hyundai Accent Hatchback GS AT,Gasoline
453,2012 Hyundai Accent Hatchback SE,Gasoline
454,2012 Hyundai Accent Hatchback GS,Gasoline
455,2011 Lexus LS 460,Gasoline
456,2011 Lexus LS 460 AWD,Gasoline
457,2011 Lexus LS 460 L,Gasoline
458,2011 Lexus LS 460 L AWD,Gasoline
459,2011 Hyundai Accent Hatchback GS AT,Gasoline
460,2011 Hyundai Accent Hatchback SE,Gasoline
461,2011 Hyundai Accent Hatchback GS,Gasoline
462,2011 Hyundai Accent Hatchback GL,Gasoline
463,2011 Hyundai Accent Hatchback SE AT,Gasoline
464,2010 Hyundai Accent Hatchback GS,Gasoline
465,2010 Hyundai Accent Hatchback SE AT,Gasoline
466,2010 Hyundai Accent Hatchback SE,Gasoline
467,2010 Hyundai Accent Hatchback GS AT,Gasoline
468,2010 Hyundai Accent Hatchback Blue,Gasoline
469,2012 Hyundai Accent Sedan GLS,Gasoline
470,2012 Hyundai Accent Sedan GLS AT,Gasoline
471,2011 Hyundai Accent Sedan GLS AT,Gasoline
472,2011 Hyundai Accent Sedan GLS,Gasoline
473,2010 Hyundai Accent Sedan GLS,Gasoline
474,2010 Hyundai Accent Sedan GLS AT,Gasoline
475,2011 Hyundai Azera GLS,Gasoline
476,2011 Hyundai Azera Limited,Gasoline
477,2010 Hyundai Azera Limited,Gasoline
478,2010 Hyundai Azera GLS,Gasoline
479,2011 Audi Q7 3.0 T S Line,Gasoline
480,2011 Audi Q7 3.0 T,Gasoline
481,2011 Audi Q7 3.0 TDI,Diesel fuel
482,2010 Audi Q7 3.6,Gasoline
483,2010 Audi Q7 3.0 TDI,Diesel fuel
484,2010 Audi Q7 4.2,Gasoline
485,2011 Toyota RAV4,Gasoline
486,2011 Toyota RAV4 4WD,Gasoline
487,2011 Toyota RAV4 V6,Gasoline
488,2011 Toyota RAV4 V6 4WD,Gasoline
489,2011 Toyota RAV4 Sport,Gasoline
490,2011 Toyota RAV4 Sport 4WD,Gasoline
491,2011 Toyota RAV4 Sport V6,Gasoline
492,2011 Toyota RAV4 Sport V6 4WD,Gasoline
493,2011 Toyota RAV4 Limited,Gasoline
494,2011 Toyota RAV4 Limited 4WD,Gasoline
495,2011 Toyota RAV4 Limited V6,Gasoline
496,2011 Toyota RAV4 Limited V6 4WD,Gasoline
497,2009 Nissan Cube 1.8 S,Gasoline
498,2009 Nissan Cube 1.8,Gasoline
499,2011 Volvo S40 R-Design,Gasoline
500,2012 Chevrolet Camaro Convertible 1LT,Gasoline
501,2012 Chevrolet Camaro Convertible 1LT AT,Gasoline
502,2012 Chevrolet Camaro Convertible 2LT,Gasoline
503,2012 Chevrolet Camaro Convertible 2LT AT,Gasoline
504,2012 Chevrolet Camaro Convertible 1SS,Gasoline
505,2012 Chevrolet Camaro Convertible 1SS AT,Gasoline
506,2012 Chevrolet Camaro Convertible 2SS,Gasoline
507,2012 Chevrolet Camaro Convertible 2SS AT,Gasoline
508,2011 Nissan Juke SL,Gasoline
509,2011 Nissan Juke SV,Gasoline
510,2011 Chevrolet Camaro Convertible 1LT,Gasoline
511,2011 Chevrolet Camaro Convertible 1LT AT,Gasoline
512,2011 Chevrolet Camaro Convertible 2LT,Gasoline
513,2011 Chevrolet Camaro Convertible 2LT AT,Gasoline
514,2011 Chevrolet Camaro Convertible 1SS,Gasoline
515,2011 Chevrolet Camaro Convertible 1SS AT,Gasoline
516,2011 Chevrolet Camaro Convertible 2SS,Gasoline
517,2011 Chevrolet Camaro Convertible 2SS AT,Gasoline
518,2010 Mercedes-Benz C300 Sport FFV,Gasoline
519,2010 Mercedes-Benz C300 Sport AT FFV,Gasoline
520,2010 Mercedes-Benz C350 Sport,Gasoline
521,2010 BMW 128i Convertible AT,Gasoline
522,2010 BMW 135i Convertible,Gasoline
523,2010 BMW 135i Convertible AT,Gasoline
524,2010 BMW 128i Convertible,Gasoline
525,2012 Chevrolet Camaro Coupe 1LT,Gasoline
526,2012 Chevrolet Camaro Coupe 1LT AT,Gasoline
527,2012 Chevrolet Camaro Coupe 2LT,Gasoline
528,2012 Chevrolet Camaro Coupe 2LT AT,Gasoline
529,2012 Chevrolet Camaro Coupe 1SS,Gasoline
530,2012 Chevrolet Camaro Coupe 1SS AT,Gasoline
531,2012 Chevrolet Camaro Coupe 2SS,Gasoline
532,2012 Chevrolet Camaro Coupe 2SS AT,Gasoline
533,2012 Chevrolet Camaro Coupe 1LS,Gasoline
534,2012 Chevrolet Camaro Coupe 2LS,Gasoline
535,2010 Mercedes-Benz C300 Sport 4MATIC,E85
536,2010 Mercedes-Benz C300 Luxury,Gasoline
537,2012 Hyundai Elantra Sedan Limited PZEV,Gasoline
538,2012 Hyundai Elantra Sedan GLS AT,Gasoline
539,2012 Hyundai Elantra Sedan GLS,Gasoline
540,2012 Hyundai Elantra Sedan GLS PZEV,Gasoline
541,2012 Hyundai Elantra Sedan Limited,Gasoline
542,2011 Hyundai Elantra Sedan GLS AT,Gasoline
